TID;SERIALNUM;VERSION;CAPABILITIES;CRC;TERMINALTYPE;COMMTYPE;CONNECTIONTYPE;NEXTFIRMUPDATE;GROUPID;PRODENABLED;MODEL;BANK;LASTCOMM;LASTUPDATE;Cliente
622571;2K622571;305;;;1;9;1;05/05/2018 09:38;;False;T1000;Parcela Ja;04/05/2018 04:20;19/04/2018 15:42;Opticenter Torres Vedras
622574;2K622574;305;;;1;9;1;02/03/2018 00:06;;True;T1000;Parcela Ja;01/03/2018 18:22;01/03/2018 18:21;Opticenter Coimbra
622579;2K622579;305;;;1;9;1;25/10/2017 09:03;;True;T1000;Parcela Ja;24/10/2017 01:07;14/10/2017 02:00;Opticenter Braga Souto
622580;2K622580;305;;;1;9;1;24/10/2017 23:27;;True;T1000;Parcela Ja;24/10/2017 14:34;14/10/2017 22:47;Fabrica de Oculos Opticenter
622584;2K622584;305;;;1;9;1;29/04/2018 09:33;;False;T1000;Parcela Ja;28/04/2018 11:17;23/03/2018 11:40;Moveis Linear
622590;2K622590;305;;;1;9;1;30/03/2018 08:35;;True;T1000;Parcela Ja;29/03/2018 17:16;08/03/2018 17:38;Opticalia Gaia Shopping
622592;2K622592;305;;;1;9;1;29/04/2018 05:17;;False;T1000;Parcela Ja;28/04/2018 10:51;05/03/2018 09:19;Opticalia Gondomar
622595;2K622595;305;;;1;9;1;29/04/2018 23:38;;False;T1000;Parcela Ja;29/04/2018 11:13;14/10/2017 10:01;Opticalia Penafiel
622596;2K622596;305;;;1;9;1;12/04/2018 04:16;;True;T1000;Parcela Ja;11/04/2018 15:09;22/02/2018 16:27;Opticalia Pacos de Ferreira
622599;2K622599;305;;;1;9;1;24/10/2017 23:14;;True;T1000;Parcela Ja;24/10/2017 18:36;15/10/2017 19:18;Opticalia Parque Nascente
622602;2K622602;305;;;1;9;1;24/04/2018 07:22;;True;T1000;Parcela Ja;23/04/2018 19:03;23/10/2017 15:51;Caribe Tours
622603;2K622603;305;;;1;9;1;24/10/2017 23:19;;True;T1000;Parcela Ja;24/10/2017 22:28;14/10/2017 07:28;Nova Visao Carrazeda de Ansiaes
622604;2K622604;305;;;1;9;1;23/02/2018 23:12;;True;T1000;Parcela Ja;23/02/2018 11:19;23/02/2018 11:19;Nova Visao Alijo
622605;2K622605;305;;;1;9;1;13/03/2018 06:57;;True;T1000;Parcela Ja;12/03/2018 12:37;06/12/2017 12:39;Opticas Portugal Odivelas
